Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,295850.000000,296455.000000,293980.000000,295995.000000,295995.000000,100
2018-04-30,296900.000000,297240.000000,290650.000000,290650.000000,290650.000000,300
2018-05-01,291150.000000,292730.000000,289170.000000,292730.000000,292730.000000,400
2018-05-02,291850.000000,292400.000000,289750.000000,290450.000000,290450.000000,300
2018-05-03,289171.000000,289171.000000,284850.000000,287051.000000,287051.000000,500
2018-05-04,288200.000000,294349.000000,280428.000000,292600.000000,292600.000000,700
2018-05-07,294720.000000,297500.000000,293700.000000,295600.000000,295600.000000,300
2018-05-08,295560.000000,295770.000000,292240.000000,295700.000000,295700.000000,300
2018-05-09,295000.000000,300000.000000,294950.000000,299991.000000,299991.000000,200
2018-05-10,300140.000000,301630.000000,298635.000000,301630.000000,301630.000000,300
2018-05-11,300300.000000,303530.000000,298360.000000,298770.000000,298770.000000,300
2018-05-14,300000.000000,300730.000000,298100.000000,298200.000000,298200.000000,200
2018-05-15,297555.000000,298155.000000,294420.000000,296200.000000,296200.000000,200
2018-05-16,295700.000000,297580.000000,295000.000000,296300.000000,296300.000000,100
2018-05-17,296750.000000,296840.000000,295000.000000,296440.000000,296440.000000,100
2018-05-18,296440.000000,296440.000000,293965.000000,294380.000000,294380.000000,200
2018-05-21,296200.000000,297775.000000,295745.000000,296620.000000,296620.000000,200
2018-05-22,297300.000000,298300.000000,296006.000000,296991.000000,296991.000000,200
2018-05-23,296500.000000,296580.000000,292647.000000,294400.000000,294400.000000,300
2018-05-24,293980.000000,294110.000000,291222.000000,291850.000000,291850.000000,200
2018-05-25,291600.000000,292370.000000,290100.000000,290886.000000,290886.000000,200
2018-05-29,289700.000000,289700.000000,283600.000000,286000.000000,286000.000000,900
2018-05-30,288500.000000,293116.000000,288300.000000,292000.000000,292000.000000,600
2018-05-31,291000.000000,291700.000000,287200.000000,287200.000000,287200.000000,400
2018-06-01,290080.000000,291000.000000,288470.000000,289200.000000,289200.000000,200
2018-06-04,290095.000000,291080.000000,288000.000000,288000.000000,288000.000000,200
2018-06-05,288000.000000,288100.000000,286200.000000,286700.000000,286700.000000,300
2018-06-06,287680.000000,291261.000000,287680.000000,290722.000000,290722.000000,300
2018-06-07,291900.000000,294000.000000,291110.000000,292900.000000,292900.000000,300
2018-06-08,292300.000000,294540.000000,291645.000000,294055.000000,294055.000000,200
2018-06-11,294600.000000,295302.000000,292770.000000,292770.000000,292770.000000,200
2018-06-12,293450.000000,294190.000000,292370.000000,293005.000000,293005.000000,200
2018-06-13,293100.000000,294020.000000,291825.000000,292769.000000,292769.000000,200
2018-06-14,292800.000000,292800.000000,288978.000000,289670.000000,289670.000000,300
2018-06-15,289600.000000,289600.000000,286200.000000,287626.000000,287626.000000,300
2018-06-18,286100.000000,287850.000000,285700.000000,287600.000000,287600.000000,200
2018-06-19,286450.000000,287164.000000,284800.000000,286700.000000,286700.000000,300
2018-06-20,286780.000000,286780.000000,285000.000000,285000.000000,285000.000000,300
2018-06-21,285300.000000,285800.000000,283600.000000,285000.000000,285000.000000,500
2018-06-22,285900.000000,287310.000000,285401.000000,286541.000000,286541.000000,500
2018-06-25,285000.000000,285705.000000,282500.000000,284640.000000,284640.000000,300
2018-06-26,283200.000000,287000.000000,282400.000000,284500.000000,284500.000000,500
2018-06-27,284500.000000,285700.000000,281600.000000,281600.000000,281600.000000,600
2018-06-28,282950.000000,285625.000000,282000.000000,284920.000000,284920.000000,500
2018-06-29,286700.000000,288080.000000,282000.000000,282040.000000,282040.000000,400
2018-07-02,282050.000000,284501.000000,282050.000000,283800.000000,283800.000000,100
2018-07-03,284900.000000,285000.000000,281600.000000,282000.000000,282000.000000,100
2018-07-05,282400.000000,284203.000000,282140.000000,283635.000000,283635.000000,200
2018-07-06,283140.000000,285406.000000,282840.000000,283700.000000,283700.000000,100
2018-07-09,285000.000000,286720.000000,284515.000000,286720.000000,286720.000000,100
2018-07-10,287499.000000,287770.000000,286070.000000,286385.000000,286385.000000,200
2018-07-11,285500.000000,289500.000000,285010.000000,288481.000000,288481.000000,400
2018-07-12,288550.000000,289800.000000,286161.000000,288000.000000,288000.000000,500
2018-07-13,288000.000000,290100.000000,287221.000000,290000.000000,290000.000000,600
2018-07-16,288800.000000,290920.000000,288800.000000,289000.000000,289000.000000,300
2018-07-17,289220.000000,289800.000000,287560.000000,288500.000000,288500.000000,200
2018-07-18,295060.000000,304100.000000,295060.000000,303210.000000,303210.000000,1000
2018-07-19,303210.000000,303549.000000,298205.000000,299000.000000,299000.000000,300
2018-07-20,298005.000000,299380.000000,298005.000000,299380.000000,299380.000000,200
2018-07-23,298900.000000,301560.000000,298835.000000,300230.000000,300230.000000,500
2018-07-24,300650.000000,303400.000000,300400.000000,300400.000000,300400.000000,200
2018-07-25,300000.000000,300500.000000,297888.000000,299816.000000,299816.000000,200
2018-07-26,300300.000000,302000.000000,300300.000000,300501.000000,300501.000000,200
2018-07-27,300500.000000,302749.000000,300500.000000,302000.000000,302000.000000,300
2018-07-30,301240.000000,304400.000000,301240.000000,303432.000000,303432.000000,400
2018-07-31,303400.000000,303400.000000,301080.000000,301550.000000,301550.000000,500
2018-08-01,302500.000000,303900.000000,300770.000000,301200.000000,301200.000000,200
2018-08-02,300550.000000,302175.000000,299000.000000,301160.000000,301160.000000,200
2018-08-03,302300.000000,304990.000000,301720.000000,304671.000000,304671.000000,300
2018-08-06,309000.000000,315015.000000,308600.000000,311806.000000,311806.000000,700
2018-08-07,313950.000000,317100.000000,313950.000000,315600.000000,315600.000000,500
2018-08-08,315550.000000,316599.000000,314376.000000,315300.000000,315300.000000,200
2018-08-09,315400.000000,316575.000000,315000.000000,315100.000000,315100.000000,100
2018-08-10,313799.000000,313799.000000,310540.000000,312000.000000,312000.000000,200
2018-08-13,311200.000000,312750.000000,309983.000000,310230.000000,310230.000000,200
2018-08-14,310745.000000,312108.000000,310250.000000,310815.000000,310815.000000,100
2018-08-15,310000.000000,311300.000000,308000.000000,309050.000000,309050.000000,100
2018-08-16,310120.000000,313195.000000,309950.000000,313000.000000,313000.000000,200
2018-08-17,312975.000000,314290.000000,312260.000000,313465.000000,313465.000000,200
2018-08-20,313465.000000,315535.000000,313465.000000,314060.000000,314060.000000,100
2018-08-21,314950.000000,315600.000000,313725.000000,313725.000000,313725.000000,200
2018-08-22,313250.000000,313250.000000,311960.000000,312400.000000,312400.000000,100
2018-08-23,312300.000000,312930.000000,311710.000000,311983.000000,311983.000000,100
2018-08-24,312150.000000,313640.000000,312150.000000,312850.000000,312850.000000,200
2018-08-27,314250.000000,317500.000000,314250.000000,316200.000000,316200.000000,200
2018-08-28,316700.000000,317730.000000,316110.000000,317124.000000,317124.000000,300
2018-08-29,317850.000000,317850.000000,316320.000000,317505.000000,317505.000000,200
2018-08-30,317000.000000,317450.000000,315880.000000,317000.000000,317000.000000,400
2018-08-31,316900.000000,316900.000000,315000.000000,315800.000000,315800.000000,500
2018-09-04,315800.000000,317250.000000,315000.000000,317250.000000,317250.000000,200
2018-09-05,316500.000000,319950.000000,316123.000000,319920.000000,319920.000000,300
2018-09-06,318500.000000,321175.000000,318500.000000,320035.000000,320035.000000,400
2018-09-07,320000.000000,322743.000000,320000.000000,321700.000000,321700.000000,300
2018-09-10,322200.000000,324995.000000,322105.000000,322560.000000,322560.000000,300
2018-09-11,321200.000000,324420.000000,320070.000000,323242.000000,323242.000000,200
2018-09-12,321750.000000,323420.000000,321750.000000,322340.000000,322340.000000,200
2018-09-13,322700.000000,323455.000000,321575.000000,321575.000000,321575.000000,300
2018-09-14,323980.000000,324999.000000,323276.000000,324999.000000,324999.000000,200
2018-09-17,325040.000000,325666.000000,323836.000000,324575.000000,324575.000000,200
2018-09-18,325000.000000,327820.000000,324945.000000,327436.000000,327436.000000,500
2018-09-19,326400.000000,332000.000000,326400.000000,332000.000000,332000.000000,600
2018-09-20,332300.000000,334560.000000,332300.000000,333415.000000,333415.000000,300
2018-09-21,333780.000000,333860.000000,331015.000000,331336.000000,331336.000000,400
2018-09-24,330300.000000,330990.000000,326940.000000,327840.000000,327840.000000,300
2018-09-25,328101.000000,328500.000000,326280.000000,328500.000000,328500.000000,200
2018-09-26,328100.000000,328100.000000,324286.000000,324286.000000,324286.000000,300
2018-09-27,324401.000000,326500.000000,323112.000000,324731.000000,324731.000000,300
2018-09-28,324500.000000,324500.000000,320000.000000,320000.000000,320000.000000,400
2018-10-01,323165.000000,324100.000000,320910.000000,321930.000000,321930.000000,500
2018-10-02,321280.000000,323330.000000,321150.000000,322900.000000,322900.000000,200
2018-10-03,323175.000000,326506.000000,323175.000000,323878.000000,323878.000000,400
2018-10-04,324325.000000,328410.000000,324325.000000,327900.000000,327900.000000,200
2018-10-05,328700.000000,330120.000000,328190.000000,329500.000000,329500.000000,200
